user_id,date,selection,city,neighborhood,gender,student,children,vehicle,family_status,age,category_name,choices,open notes,choise_1,choise_2,choise_3,choise_4,choise_5,choise_6,choise_7,choise_8,choise_9,choise_10,,,,,,,,,,
163,12022019  14:08:14,בית,באר שבע,א,נקבה,לא,יש,יש,married,34,מצרכים ומוצרים,"מכולת,חנות ירקות ופירות ,סופרמרקט ,חנות תבלינים ,חנות טבע",,מכולת,חנות ירקות ופירות ,סופרמרקט ,חנות תבלינים ,חנות טבע,,,,,,,,,,,,,,,
163,12022019  14:09:00,בית,באר שבע,א,נקבה,לא,יש,יש,married,34,בחירה חופשית,"חניה,,",,חניה,,,,,,,,,,,,,,,,,,,
1322,13022019  11:24:26,בית,באר שבע,א,זכר,לא,אין,יש,married,46,מסעדות ובתי קפה,"המבורגריה,בית קפה של רשת מוכרת,פלאפל,מסעדת אוכל ביתי ",,המבורגריה,בית קפה של רשת מוכרת,פלאפל,מסעדת אוכל ביתי ,,,,,,,,,,,,,,,,
1322,13022019  11:24:35,בית,באר שבע,א,זכר,לא,אין,יש,married,46,קופת חולים ופארם,בית מרקחת\ חנות פארם,,בית מרקחת, חנות פארם,,,,,,,,,,,,,,,,,,
1532,13022019  13:53:59,בית,באר שבע,א,זכר,לא,אין,יש,single,33,דברים לבית,"טמבוריה\ עשה זאת בעצמך,סטוק,אלקטרוניקה וחשמל",,טמבוריה, עשה זאת בעצמך,סטוק,אלקטרוניקה וחשמל,,,,,,,,,,,,,,,,
1532,13022019  13:54:15,בית,באר שבע,א,זכר,לא,אין,יש,single,33,מצרכים ומוצרים,"קצב \ קצבייה,מכולת,חנות ירקות ופירות ",,קצב , קצבייה,מכולת,חנות ירקות ופירות ,,,,,,,,,,,,,,,,
1532,13022019  13:54:26,בית,באר שבע,א,זכר,לא,אין,יש,single,33,הורים וילדים,"חנות מתנות ,חוגים,שיעורי נגינה,שיעורים פרטיים לתלמידים,גנים",,חנות מתנות ,חוגים,שיעורי נגינה,שיעורים פרטיים לתלמידים,גנים,,,,,,,,,,,,,,,
1615,13022019  14:58:17,בית,באר שבע,א,נקבה,כן,יש,יש,married,33,מסעדות ובתי קפה,"בית קפה של רשת מוכרת,מיצים טבעיים,גלידריה,בר סלטים,סושיה",,בית קפה של רשת מוכרת,מיצים טבעיים,גלידריה,בר סלטים,סושיה,,,,,,,,,,,,,,,
1615,13022019  14:58:26,בית,באר שבע,א,נקבה,כן,יש,יש,married,33,קופת חולים ופארם,"בית מרקחת\ חנות פארם,קופת חולים",,בית מרקחת, חנות פארם,קופת חולים,,,,,,,,,,,,,,,,,
1615,13022019  14:58:40,בית,באר שבע,א,נקבה,כן,יש,יש,married,33,הורים וילדים,"ג\\'ימבורי,חנות ספרים ,מוצרי תינוקות",,ג,,"ימבורי,חנות ספרים ,מוצרי תינוקות",,,,,,,,,,,,,,,,,
